date,unemployment login
2008-01-06,1
2008-01-13,0
2008-01-20,1
2008-01-27,2
2008-02-03,3
2008-02-10,1
2008-02-17,2
2008-02-24,2
2008-03-02,2
2008-03-09,3
2008-03-16,1
2008-03-23,1
2008-03-30,1
2008-04-06,3
2008-04-13,1
2008-04-20,1
2008-04-27,4
2008-05-04,1
2008-05-11,3
2008-05-18,4
2008-05-25,0
2008-06-01,3
2008-06-08,1
2008-06-15,5
2008-06-22,5
2008-06-29,3
2008-07-06,3
2008-07-13,2
2008-07-20,3
2008-07-27,4
2008-08-03,5
2008-08-10,4
2008-08-17,3
2008-08-24,3
2008-08-31,4
2008-09-07,4
2008-09-14,3
2008-09-21,4
2008-09-28,7
2008-10-05,5
2008-10-12,7
2008-10-19,5
2008-10-26,5
2008-11-02,6
2008-11-09,6
2008-11-16,6
2008-11-23,6
2008-11-30,6
2008-12-07,5
2008-12-14,12
2008-12-21,12
2008-12-28,14
2009-01-04,18
2009-01-11,22
2009-01-18,13
2009-01-25,18
2009-02-01,19
2009-02-08,16
2009-02-15,21
2009-02-22,17
2009-03-01,17
2009-03-08,19
2009-03-15,23
2009-03-22,20
2009-03-29,18
2009-04-05,22
2009-04-12,24
2009-04-19,23
2009-04-26,18
2009-05-03,22
2009-05-10,16
2009-05-17,22
2009-05-24,19
2009-05-31,23
2009-06-07,24
2009-06-14,24
2009-06-21,27
2009-06-28,22
2009-07-05,29
2009-07-12,24
2009-07-19,22
2009-07-26,29
2009-08-02,30
2009-08-09,32
2009-08-16,31
2009-08-23,27
2009-08-30,24
2009-09-06,25
2009-09-13,32
2009-09-20,32
2009-09-27,33
2009-10-04,40
2009-10-11,40
2009-10-18,40
2009-10-25,39
2009-11-01,40
2009-11-08,41
2009-11-15,46
2009-11-22,47
2009-11-29,55
2009-12-06,58
2009-12-13,100
2009-12-20,67
2009-12-27,87
2010-01-03,77
2010-01-10,62
2010-01-17,77
2010-01-24,75
2010-01-31,57
2010-02-07,69
2010-02-14,76
2010-02-21,68
2010-02-28,70
2010-03-07,69
2010-03-14,70
2010-03-21,67
2010-03-28,68
2010-04-04,75
2010-04-11,79
2010-04-18,69
2010-04-25,55
2010-05-02,58
2010-05-09,60
2010-05-16,48
2010-05-23,47
2010-05-30,50
2010-06-06,42
2010-06-13,47
2010-06-20,50
2010-06-27,62
2010-07-04,52
2010-07-11,54
2010-07-18,56
2010-07-25,50
2010-08-01,45
2010-08-08,42
2010-08-15,31
2010-08-22,45
2010-08-29,35
2010-09-05,36
2010-09-12,37
2010-09-19,42
2010-09-26,46
2010-10-03,37
2010-10-10,32
2010-10-17,38
2010-10-24,39
2010-10-31,47
2010-11-07,50
2010-11-14,49
2010-11-21,32
2010-11-28,51
2010-12-05,46
2010-12-12,51
2010-12-19,57
2010-12-26,64
2011-01-02,76
2011-01-09,66
2011-01-16,75
2011-01-23,76
2011-01-30,58
2011-02-06,61
2011-02-13,58
2011-02-20,51
2011-02-27,44
2011-03-06,39
2011-03-13,39
2011-03-20,46
2011-03-27,40
2011-04-03,43
2011-04-10,42
2011-04-17,40
2011-04-24,40
2011-05-01,38
2011-05-08,45
2011-05-15,49
2011-05-22,47
2011-05-29,48
2011-06-05,51
2011-06-12,53
2011-06-19,57
2011-06-26,61
2011-07-03,71
2011-07-10,67
2011-07-17,65
2011-07-24,67
2011-07-31,68
2011-08-07,65
2011-08-14,63
2011-08-21,63
2011-08-28,65
2011-09-04,71
2011-09-11,62
2011-09-18,61
2011-09-25,59
2011-10-02,61
2011-10-09,58
2011-10-16,44
2011-10-23,38
2011-10-30,37
2011-11-06,34
2011-11-13,35
2011-11-20,37
2011-11-27,39
2011-12-04,44
2011-12-11,44
2011-12-18,43
2011-12-25,52
2012-01-01,56
2012-01-08,51
2012-01-15,61
2012-01-22,66
2012-01-29,61
2012-02-05,64
2012-02-12,51
2012-02-19,61
2012-02-26,51
2012-03-04,54
2012-03-11,48
2012-03-18,57
2012-03-25,53
2012-04-01,55
2012-04-08,45
2012-04-15,45
2012-04-22,39
2012-04-29,39
2012-05-06,38
2012-05-13,40
2012-05-20,58
2012-05-27,42
2012-06-03,46
2012-06-10,52
2012-06-17,51
2012-06-24,44
2012-07-01,53
2012-07-08,53
2012-07-15,51
2012-07-22,59
2012-07-29,48
2012-08-05,45
2012-08-12,45
2012-08-19,41
2012-08-26,41
2012-09-02,41
2012-09-09,43
2012-09-16,33
2012-09-23,41
2012-09-30,44
2012-10-07,55
2012-10-14,55
2012-10-21,49
2012-10-28,57
2012-11-04,56
2012-11-11,73
2012-11-18,55
2012-11-25,59
2012-12-02,58
2012-12-09,57
2012-12-16,68
2012-12-23,63
2012-12-30,67
