date,unemployment florida
2010-01-03,68
2010-01-10,60
2010-01-17,69
2010-01-24,64
2010-01-31,59
2010-02-07,49
2010-02-14,55
2010-02-21,56
2010-02-28,60
2010-03-07,60
2010-03-14,59
2010-03-21,54
2010-03-28,57
2010-04-04,54
2010-04-11,65
2010-04-18,61
2010-04-25,57
2010-05-02,54
2010-05-09,58
2010-05-16,59
2010-05-23,58
2010-05-30,62
2010-06-06,71
2010-06-13,67
2010-06-20,65
2010-06-27,74
2010-07-04,60
2010-07-11,67
2010-07-18,100
2010-07-25,87
2010-08-01,80
2010-08-08,84
2010-08-15,61
2010-08-22,68
2010-08-29,56
2010-09-05,57
2010-09-12,51
2010-09-19,56
2010-09-26,49
2010-10-03,57
2010-10-10,46
2010-10-17,54
2010-10-24,44
2010-10-31,46
2010-11-07,47
2010-11-14,53
2010-11-21,41
2010-11-28,57
2010-12-05,53
2010-12-12,60
2010-12-19,57
2010-12-26,60
2011-01-02,81
2011-01-09,74
2011-01-16,68
2011-01-23,60
2011-01-30,60
2011-02-06,54
2011-02-13,51
2011-02-20,49
2011-02-27,47
2011-03-06,51
2011-03-13,44
2011-03-20,47
2011-03-27,49
2011-04-03,51
2011-04-10,53
2011-04-17,60
2011-04-24,57
2011-05-01,54
2011-05-08,56
2011-05-15,57
2011-05-22,54
2011-05-29,59
2011-06-05,61
2011-06-12,62
2011-06-19,64
2011-06-26,63
2011-07-03,65
2011-07-10,62
2011-07-17,62
2011-07-24,61
2011-07-31,78
2011-08-07,69
2011-08-14,68
2011-08-21,64
2011-08-28,63
2011-09-04,60
2011-09-11,64
2011-09-18,59
2011-09-25,57
2011-10-02,88
2011-10-09,74
2011-10-16,63
2011-10-23,64
2011-10-30,58
2011-11-06,55
2011-11-13,54
2011-11-20,48
2011-11-27,54
2011-12-04,49
2011-12-11,47
2011-12-18,55
2011-12-25,57
2012-01-01,63
2012-01-08,64
2012-01-15,62
2012-01-22,58
2012-01-29,58
2012-02-05,51
2012-02-12,53
2012-02-19,48
2012-02-26,44
2012-03-04,52
2012-03-11,43
2012-03-18,46
2012-03-25,45
2012-04-01,49
2012-04-08,49
2012-04-15,51
2012-04-22,47
2012-04-29,50
2012-05-06,50
2012-05-13,49
2012-05-20,52
2012-05-27,51
2012-06-03,49
2012-06-10,50
2012-06-17,53
2012-06-24,48
2012-07-01,54
2012-07-08,54
2012-07-15,51
2012-07-22,53
2012-07-29,53
2012-08-05,50
2012-08-12,51
2012-08-19,48
2012-08-26,44
2012-09-02,45
2012-09-09,43
2012-09-16,41
2012-09-23,41
2012-09-30,46
2012-10-07,45
2012-10-14,42
2012-10-21,44
2012-10-28,41
2012-11-04,45
2012-11-11,44
2012-11-18,38
2012-11-25,45
2012-12-02,43
2012-12-09,42
2012-12-16,43
2012-12-23,45
2012-12-30,57
2013-01-06,61
2013-01-13,56
2013-01-20,49
2013-01-27,45
2013-02-03,42
2013-02-10,37
2013-02-17,38
2013-02-24,35
2013-03-03,34
2013-03-10,35
2013-03-17,35
2013-03-24,34
2013-03-31,41
2013-04-07,37
2013-04-14,38
2013-04-21,39
2013-04-28,42
2013-05-05,38
2013-05-12,39
2013-05-19,37
2013-05-26,41
2013-06-02,43
2013-06-09,44
2013-06-16,40
2013-06-23,42
2013-06-30,41
2013-07-07,43
2013-07-14,45
2013-07-21,41
2013-07-28,43
2013-08-04,40
2013-08-11,41
2013-08-18,40
2013-08-25,39
2013-09-01,40
2013-09-08,35
2013-09-15,34
2013-09-22,35
2013-09-29,42
2013-10-06,35
2013-10-13,64
2013-10-20,54
2013-10-27,45
2013-11-03,46
2013-11-10,46
2013-11-17,48
2013-11-24,41
2013-12-01,52
2013-12-08,52
2013-12-15,57
2013-12-22,52
2013-12-29,55
2014-01-05,58
2014-01-12,56
2014-01-19,56
2014-01-26,50
2014-02-02,47
2014-02-09,36
2014-02-16,35
2014-02-23,33
2014-03-02,34
2014-03-09,33
2014-03-16,31
2014-03-23,32
2014-03-30,33
2014-04-06,32
2014-04-13,33
2014-04-20,33
2014-04-27,33
2014-05-04,31
2014-05-11,32
2014-05-18,33
2014-05-25,33
2014-06-01,34
2014-06-08,36
2014-06-15,40
2014-06-22,39
2014-06-29,38
2014-07-06,40
2014-07-13,38
2014-07-20,41
2014-07-27,40
2014-08-03,39
2014-08-10,37
2014-08-17,34
2014-08-24,32
2014-08-31,31
2014-09-07,33
2014-09-14,30
2014-09-21,29
2014-09-28,30
2014-10-05,28
2014-10-12,29
2014-10-19,27
2014-10-26,24
2014-11-02,25
2014-11-09,26
2014-11-16,25
2014-11-23,20
2014-11-30,26
2014-12-07,25
2014-12-14,22
2014-12-21,19
2014-12-28,22
