date,ny unemployment,isPartial
2016-01-03,53,False
2016-01-10,100,False
2016-01-17,41,False
2016-01-24,51,False
2016-01-31,55,False
2016-02-07,49,False
2016-02-14,51,False
2016-02-21,41,False
2016-02-28,33,False
2016-03-06,34,False
2016-03-13,34,False
2016-03-20,36,False
2016-03-27,37,False
2016-04-03,46,False
2016-04-10,48,False
2016-04-17,35,False
2016-04-24,38,False
2016-05-01,40,False
2016-05-08,33,False
2016-05-15,38,False
2016-05-22,33,False
2016-05-29,31,False
2016-06-05,39,False
2016-06-12,36,False
2016-06-19,39,False
2016-06-26,40,False
2016-07-03,41,False
2016-07-10,42,False
2016-07-17,33,False
2016-07-24,29,False
2016-07-31,24,False
2016-08-07,28,False
2016-08-14,29,False
2016-08-21,28,False
2016-08-28,28,False
2016-09-04,32,False
2016-09-11,27,False
2016-09-18,26,False
2016-09-25,26,False
2016-10-02,31,False
2016-10-09,30,False
2016-10-16,27,False
2016-10-23,25,False
2016-10-30,31,False
2016-11-06,27,False
2016-11-13,29,False
2016-11-20,24,False
2016-11-27,35,False
2016-12-04,33,False
2016-12-11,31,False
2016-12-18,31,False
2016-12-25,34,False
2017-01-01,50,False
2017-01-08,42,False
2017-01-15,47,False
2017-01-22,51,False
2017-01-29,55,False
2017-02-05,46,False
2017-02-12,45,False
2017-02-19,42,False
2017-02-26,38,False
2017-03-05,43,False
2017-03-12,37,False
2017-03-19,39,False
2017-03-26,33,False
2017-04-02,34,False
2017-04-09,33,False
2017-04-16,34,False
2017-04-23,29,False
2017-04-30,28,False
2017-05-07,27,False
2017-05-14,19,False
2017-05-21,25,False
2017-05-28,27,False
2017-06-04,27,False
2017-06-11,30,False
2017-06-18,26,False
2017-06-25,38,False
2017-07-02,37,False
2017-07-09,39,False
2017-07-16,40,False
2017-07-23,37,False
2017-07-30,36,False
2017-08-06,36,False
2017-08-13,33,False
2017-08-20,31,False
2017-08-27,29,False
2017-09-03,27,False
2017-09-10,29,False
2017-09-17,25,False
2017-09-24,23,False
2017-10-01,24,False
2017-10-08,22,False
2017-10-15,24,False
2017-10-22,23,False
2017-10-29,22,False
2017-11-05,27,False
2017-11-12,28,False
2017-11-19,29,False
2017-11-26,36,False
2017-12-03,34,False
2017-12-10,34,False
2017-12-17,36,False
2017-12-24,41,False
2017-12-31,55,False
2018-01-07,45,False
2018-01-14,37,False
2018-01-21,35,False
2018-01-28,34,False
2018-02-04,34,False
2018-02-11,32,False
2018-02-18,29,False
2018-02-25,33,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,26,False
2018-03-25,30,False
2018-04-01,29,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,27,False
2018-04-29,30,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,28,False
2018-05-27,26,False
2018-06-03,30,False
2018-06-10,26,False
2018-06-17,24,False
2018-06-24,27,False
2018-07-01,28,False
2018-07-08,27,False
2018-07-15,25,False
2018-07-22,23,False
2018-07-29,22,False
2018-08-05,25,False
2018-08-12,27,False
2018-08-19,24,False
2018-08-26,23,False
2018-09-02,23,False
2018-09-09,27,False
2018-09-16,25,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,21,False
2018-10-14,20,False
2018-10-21,19,False
2018-10-28,21,False
2018-11-04,22,False
2018-11-11,20,False
2018-11-18,17,False
2018-11-25,23,False
2018-12-02,22,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,22,False
2018-12-30,34,False
2019-01-06,27,False
2019-01-13,30,False
2019-01-20,36,False
2019-01-27,34,False
2019-02-03,31,False
2019-02-10,32,False
2019-02-17,25,False
2019-02-24,23,False
2019-03-03,22,False
2019-03-10,25,False
2019-03-17,22,False
2019-03-24,21,False
2019-03-31,21,False
2019-04-07,19,False
2019-04-14,18,False
2019-04-21,21,False
2019-04-28,22,False
2019-05-05,21,False
2019-05-12,21,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,22,False
2019-06-09,24,False
2019-06-16,21,False
2019-06-23,21,False
2019-06-30,19,False
2019-07-07,25,False
2019-07-14,20,False
2019-07-21,20,False
2019-07-28,19,False
2019-08-04,19,False
2019-08-11,19,False
2019-08-18,21,False
2019-08-25,17,False
2019-09-01,21,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,26,False
2019-10-13,21,False
2019-10-20,20,False
2019-10-27,19,False
2019-11-03,22,False
2019-11-10,18,False
2019-11-17,25,False
2019-11-24,19,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,20,False
2019-12-22,20,False
